T,Cv
0.0,69.0
0.05,139.52720219747803
0.1,140.75906102640093
0.15,144.22191606359934
0.2,143.70381253045616
0.25,183.53909733366814
0.3,156.06494301429217
0.35,202.1643171750517
0.4,217.94343995934398
0.45,201.50522283826533
0.5,216.99146577073185
0.55,250.11505373281696
0.6,253.2877030674258
0.65,282.45964985689415
0.7,249.4314692924111
0.75,224.76818302734827
0.8,197.59126822054995
0.85,184.5714940619912
0.9,170.54045857042254
0.95,162.27250877553334
1.0,154.6791335583917
1.05,146.62527030321834
1.1,141.74968308618273
1.15,137.51238895414872
1.2,132.0021684950972
1.25,129.55941393065322
1.3,128.90352055925808
1.35,126.7297783213555
1.4,125.47106189919236
1.45,123.77719580939173
1.5,121.94892716633474
1.55,120.9593580865147
1.6,121.00635874136583
1.65,119.36844122606759
1.7,118.54935079844492
1.75,117.71328897958954
1.8,117.0438387224367
1.85,117.34935362275549
1.9,114.86360709239499
1.95,114.60442029520446
